id;nome;sigla;latitude;longitude;propria
1;Applications Investor bandwidth;deploy Metal;67007;85100;false
2;Engineer;interface;32918;71354;false
3;Sleek Soft Soap paradigms reinvent;teal Identity Small Fresh Shirt;68605;26865;false
4;Practical Concrete Pizza Soap Mississippi;bluetooth;47903;45082;false
5;enhance Designer;Passage syndicate Multi-channelled;44425;10182;true
6;Crossing Paradigm;China back up;87978;46409;false
7;Fantastic Fresh Pizza Automated;Sleek Rubber Bike bypass proactive;8619;13568;true
8;Centers alarm;Plain connecting invoice;12667;26650;true
9;monitoring;Representative;48211;66535;true
10;deploy HDD Applications;Advanced;29431;75361;true
