id;nome;descricao;marca;valor;situacao;serie;lote;tamanho
1;Ergonomic Frozen;Unbranded Cotton Pizza Buckinghamshire;Markets salmon;16716;MANUTENCAO;Focused multi-byte;Rustic Savings Account pixel;SAS
2;purple SCSI;cross-media;Berkshire morph Corporate;58801;CADASTRADO;copy Licensed Granite Fish;Pa'anga quantifying withdrawal;New Mexico panel
3;index Estonia;Minnesota Ohio Checking Account;Cheese Bahamian Dollar Brunei Dollar;18097;CADASTRADO;engage USB solid state;Orchestrator Officer connecting;hardware Car IB
4;purple Music strategize;sky blue;white;4063;CADASTRADO;parsing payment Program;Principal redefine;GB Kids
5;override Northern Mariana Islands Personal Loan Account;Rubber copy cutting-edge;Future;15282;INUTILIZADO;heuristic Table Australian Dollar;Steel Sleek Fresh Chair;Stand-alone
6;Plaza capacitor;Jewelery Savings Account;Salad quantifying;77626;MANUTENCAO;Jamaican Dollar Sausages back-end;Steel enterprise Awesome;card Investment Account generate
7;Outdoors Awesome Somalia;Auto Loan Account aggregate online;Pizza;43328;ACAUTELADO;Forward;programming;redefine capacitor neural
8;purple;Harbor;Tools cross-platform;66673;ACAUTELADO;Montana Practical;withdrawal Cambridgeshire Ghana;web-readiness
9;Granite Sleek Concrete Shirt Delaware;Personal Loan Account;supply-chains;8582;ACAUTELADO;Assurance payment;Organic;pink Inverse national
10;Mouse;Hat;bluetooth Public-key Plains;1155;MANUTENCAO;Agent Assurance;JBOD;wireless innovative
